id;question;answer;unit;category;answer_type
1;Ile gramów waży typowy bochenek chleba kupowany w sklepie?;500.0;g;dom/jedzenie;typowo
2;Ile gramów ma standardowa kostka masła?;200.0;g;dom/jedzenie;typowo
3;Ile mililitrów ma standardowy karton mleka?;1000.0;ml;dom/jedzenie;typowo
4;Ile mililitrów ma typowa puszka napoju?;330.0;ml;dom/jedzenie;typowo
5;Ile litrów ma popularna duża butelka wody?;1.5;l;dom/jedzenie;typowo
6;Ile mililitrów ma typowe espresso (porcja)?;30.0;ml;dom/jedzenie;typowo
7;Ile mililitrów ma typowa porcja latte/cappuccino w kawiarni (około)?;250.0;ml;dom/jedzenie;około
8;Ile mililitrów ma łyżeczka (teaspoon) w kuchni?;5.0;ml;dom/kuchnia;umownie
9;Ile mililitrów ma łyżka stołowa (tablespoon) w kuchni?;15.0;ml;dom/kuchnia;umownie
10;Ile mililitrów ma 'szklanka' w przepisach (metryczna)?;250.0;ml;dom/kuchnia;umownie
11;Ile gramów waży typowa kostka cukru?;4.0;g;dom/jedzenie;typowo
12;Ile gramów ma typowa tabliczka czekolady?;100.0;g;dom/jedzenie;typowo
13;Ile gramów waży przeciętny banan (bez skórki, około)?;120.0;g;dom/jedzenie;około
14;Ile gramów waży przeciętne jabłko (około)?;180.0;g;dom/jedzenie;około
15;Ile gramów waży typowe jajko (rozmiar M, około)?;60.0;g;dom/jedzenie;około
16;Ile minut gotuje się jajko na twardo (typowo)?;10.0;min;dom/kuchnia;typowo
17;Ile minut gotuje się jajko na miękko (typowo)?;6.0;min;dom/kuchnia;typowo
18;Ile gramów waży kromka chleba (typowo)?;35.0;g;dom/jedzenie;typowo
19;Ile gramów waży plaster sera żółtego (typowo)?;20.0;g;dom/jedzenie;typowo
20;Ile centymetrów ma typowa pizza 'duża' (średnica)?;30.0;cm;dom/jedzenie;typowo
21;Na ile kawałków kroi się typową pizzę w pizzerii?;8.0;szt.;dom/jedzenie;typowo
22;Ile gramów ma typowy kotlet/hamburger (porcja mięsa, około)?;150.0;g;dom/jedzenie;około
23;Ile mililitrów ma standardowa butelka wina?;750.0;ml;dom/jedzenie;fakt/standard
24;Ile mililitrów ma typowa butelka piwa w Europie?;500.0;ml;dom/jedzenie;typowo
25;Ile mililitrów mieści przeciętny kubek do herbaty w domu (około)?;350.0;ml;dom/kuchnia;około
26;Ile centymetrów ma typowy talerz obiadowy (średnica, około)?;27.0;cm;dom/kuchnia;około
27;Jaki jest dłuższy bok kartki A4?;29.7;cm;dom/standardy;fakt
28;Jaki jest krótszy bok kartki A4?;21.0;cm;dom/standardy;fakt
29;Ile milimetrów ma szerokość typowej karty płatniczej (około)?;86.0;mm;dom/standardy;około
30;Ile centymetrów ma typowa wysokość drzwi wewnętrznych?;200.0;cm;dom;typowo
31;Ile centymetrów ma typowa szerokość drzwi wewnętrznych?;80.0;cm;dom;typowo
32;Ile centymetrów ma typowa wysokość stołu?;75.0;cm;dom;typowo
33;Ile centymetrów ma typowa wysokość siedziska krzesła?;45.0;cm;dom;typowo
34;Ile centymetrów ma typowa wysokość sufitu w mieszkaniu (około)?;250.0;cm;dom;około
35;Ile milimetrów ma typowa grubość smartfona (około)?;8.0;mm;dom/technologia;około
36;Ile gramów waży typowy smartfon?;200.0;g;dom/technologia;typowo
37;Ile cali ma typowy ekran smartfona (przekątna, około)?;6.5;cal;dom/technologia;około
38;Ile kilogramów waży typowy laptop do pracy?;1.5;kg;dom/technologia;typowo
39;Ile cali ma typowy ekran laptopa (przekątna)?;15.6;cal;dom/technologia;typowo
40;Jaka temperatura w °C jest zwykle uznawana za komfortową w mieszkaniu?;21.0;°C;dom;typowo
41;Jaka temperatura w °C jest typowa w lodówce?;4.0;°C;dom;typowo
42;Jaka temperatura w °C jest typowa w zamrażarce?;-18.0;°C;dom;typowo
43;W jakiej temperaturze (°C) wrze woda na poziomie morza?;100.0;°C;nauka/życie;fakt
44;W jakiej temperaturze (°C) topnieje lód (przy 1 atm)?;0.0;°C;nauka/życie;fakt
45;Ile minut trwa przeciętny prysznic (około)?;8.0;min;dom;około
46;Ile litrów wody mieści typowa wanna (około)?;150.0;l;dom;około
47;Ile litrów ma typowe spłukanie toalety (około)?;6.0;l;dom;około
48;Ile litrów ma typowy czajnik elektryczny (pojemność, około)?;1.7;l;dom;około
49;Ile watów ma typowa kuchenka mikrofalowa (moc, około)?;800.0;W;dom;około
50;Ile watów ma typowa żarówka LED 'odpowiednik 60W' (około)?;9.0;W;dom;około
51;Ile woltów ma typowa bateria AA?;1.5;V;dom/technologia;typowo
52;Ile cali ma typowy telewizor w salonie (około)?;55.0;cal;dom/technologia;około
53;Ile minut trwa typowy krótki program prania (około)?;60.0;min;dom;około
54;Ile minut trwa typowy cykl zmywarki (około)?;120.0;min;dom;około
55;Ile watów pobiera typowy odkurzacz (moc, około)?;700.0;W;dom;około
56;Ile centymetrów ma typowa poduszka (szerokość, około)?;70.0;cm;dom;około
57;Ile centymetrów ma standardowa długość łóżka?;200.0;cm;dom;typowo
58;Ile centymetrów ma standardowa szerokość łóżka jednoosobowego?;90.0;cm;dom;typowo
59;Ile centymetrów ma standardowa szerokość łóżka dwuosobowego (około)?;160.0;cm;dom;około
60;Ile centymetrów ma typowa wysokość stopnia schodów (około)?;17.0;cm;dom;około
61;Ile centymetrów ma typowa głębokość stopnia schodów (około)?;28.0;cm;dom;około
62;Ile centymetrów ma typowy ołówek?;19.0;cm;dom;typowo
63;Ile centymetrów ma typowy długopis?;14.0;cm;dom;typowo
64;Ile watów ma typowa ładowarka do telefonu (szybkie ładowanie, około)?;20.0;W;dom/technologia;około
65;Ile GB ma 'typowy' pendrive kupowany dziś (około)?;64.0;GB;dom/technologia;około
66;Ile MB ma typowe zdjęcie z telefonu (JPEG, około)?;3.0;MB;dom/technologia;około
67;Ile litrów ma typowy bak paliwa w samochodzie osobowym (około)?;50.0;l;transport;około
68;Ile barów ma typowe ciśnienie w oponie auta osobowego (około)?;2.2;bar;transport;około
69;Ile centymetrów ma typowa głębokość blatu kuchennego?;60.0;cm;dom;typowo
70;Ile centymetrów ma typowa wysokość blatu kuchennego?;90.0;cm;dom;typowo
71;Ile minut ma doba?;1440.0;min;czas;fakt
72;Ile sekund ma godzina?;3600.0;s;czas;fakt
73;Ile sekund ma doba?;86400.0;s;czas;fakt
74;Ile dni ma tydzień?;7.0;dni;czas;fakt
75;Ile miesięcy ma rok?;12.0;mies.;czas;fakt
76;Ile dni ma rok nieprzestępny?;365.0;dni;czas;fakt
77;Ile dni ma rok przestępny?;366.0;dni;czas;fakt
78;Ile tygodni ma rok (w przybliżeniu)?;52.0;tyg.;czas;około
79;Ile godzin trwa typowy dzień pracy (etat)?;8.0;h;życie;typowo
80;Ile godzin ma typowy tydzień pracy (etat)?;40.0;h;życie;typowo
81;Ile godzin snu na dobę zwykle zaleca się dorosłym?;8.0;h;zdrowie;typowo
82;Ile minut zajmuje przeciętnie zaśnięcie po zgaszeniu światła (około)?;15.0;min;zdrowie;około
83;Jaka jest przeciętna prędkość marszu człowieka?;5.0;km/h;transport;typowo
84;Jaka jest przeciętna prędkość szybkiego marszu (około)?;6.0;km/h;transport;około
85;Jaka jest przeciętna prędkość truchtu/joggingu (około)?;10.0;km/h;sport;około
86;Jaka jest przeciętna prędkość jazdy rowerem po mieście (około)?;15.0;km/h;transport;około
87;Jaka jest przeciętna prędkość jazdy rowerem na szosie (amatorsko, około)?;25.0;km/h;sport;około
88;Ile metrów długości ma typowy autobus miejski?;12.0;m;transport;typowo
89;Ile metrów wysokości ma typowy autobus piętrowy (około)?;4.4;m;transport;około
90;Ile metrów długości ma typowy samochód osobowy (około)?;4.5;m;transport;około
91;Ile metrów długości ma typowe miejsce parkingowe?;5.0;m;transport;typowo
92;Ile metrów szerokości ma typowe miejsce parkingowe (około)?;2.5;m;transport;około
93;Ile miejsc siedzących ma typowy autokar dalekobieżny (około)?;50.0;miejsc;transport;około
94;Jaka jest typowa prędkość przelotowa samolotu pasażerskiego?;900.0;km/h;transport;typowo
95;Na jakiej wysokości lata samolot pasażerski w locie przelotowym (około)?;11000.0;m;transport;około
96;Jaka jest prędkość startowa samolotu pasażerskiego (około)?;260.0;km/h;transport;około
97;Jaka jest typowa maksymalna prędkość pociągu dużych prędkości?;300.0;km/h;transport;typowo
98;Jaka jest przeciętna prędkość metra w mieście (z postojami, około)?;35.0;km/h;transport;około
99;Jaka jest typowa prędkość windy w budynku mieszkalnym?;1.0;m/s;transport;typowo
100;Jaka jest typowa prędkość schodów ruchomych?;0.5;m/s;transport;typowo
101;Ile kilometrów ma maraton?;42.195;km;sport;fakt
102;Ile kilometrów ma półmaraton?;21.0975;km;sport;fakt
103;Ile minut trwa mecz piłki nożnej (bez dogrywki)?;90.0;min;sport;fakt
104;Ilu zawodników jest na boisku w jednej drużynie piłkarskiej?;11.0;osób;sport;fakt
105;Ilu zawodników jest na boisku w jednej drużynie koszykówki?;5.0;osób;sport;fakt
106;Ile metrów ma jedno okrążenie standardowej bieżni lekkoatletycznej?;400.0;m;sport;fakt
107;Ile kilometrów ma jedna mila?;1.609;km;ciekawostki;fakt
108;Ile kilometrów na godzinę ma 1 węzeł (knot)?;1.852;km/h;ciekawostki;fakt
109;Ile minut trwa 'typowy' odcinek serialu komediowego bez reklam (około)?;22.0;min;rozrywka;około
110;Ile minut trwa 'typowy' odcinek serialu dramatycznego (około)?;45.0;min;rozrywka;około
111;Ile minut trwa typowa piosenka radiowa (około)?;3.5;min;rozrywka;około
112;Ile sekund trwa typowe parzenie herbaty (około 3 minuty)?;180.0;s;dom/kuchnia;około
113;Ile minut trwa typowe gotowanie makaronu (al dente, około)?;10.0;min;dom/kuchnia;około
114;Ile minut trwa typowe pieczenie mrożonej pizzy (około)?;12.0;min;dom/kuchnia;około
115;Ile minut trwa typowe rozgrzanie piekarnika do 200°C (około)?;10.0;min;dom/kuchnia;około
116;Ile minut trwa typowe ładowanie telefonu od 0% do 100% (około)?;90.0;min;dom/technologia;około
117;Ile sekund trwa 'zielone' na typowych światłach dla pieszych (około)?;20.0;s;miasto;około
118;Ile minut przed odjazdem zwykle zamyka się bramkę na lotnisku (około)?;15.0;min;transport;około
119;Jaka jest typowa temperatura ciała człowieka (około)?;36.6;°C;człowiek;około
120;Ile zębów ma typowo dorosły człowiek (z ósemkami)?;32.0;szt.;człowiek;fakt
121;Ile kości ma typowo dorosły człowiek?;206.0;szt.;człowiek;fakt
122;Ile litrów krwi ma przeciętny dorosły człowiek (około)?;5.0;l;człowiek;około
123;Ile procent masy ciała człowieka stanowi woda (około)?;60.0;%;człowiek;około
124;Ile uderzeń serca na minutę ma typowo dorosły w spoczynku (około)?;70.0;bpm;człowiek;około
125;Ile uderzeń serca to około w ciągu doby przy 70 bpm?;100800.0;uderzeń;człowiek;wyliczone
126;Ile kroków dziennie ma popularny cel aktywności (tzw. '10k')?;10000.0;kroków;zdrowie;typowo
127;O ile centymetrów rosną włosy miesięcznie (około)?;1.0;cm/mies.;człowiek;około
128;O ile milimetrów rosną paznokcie miesięcznie (około)?;3.0;mm/mies.;człowiek;około
129;Ile dni trwa ciąża u człowieka (typowo, około)?;280.0;dni;człowiek;około
130;Ile dni trwa inkubacja jaja kury (od zniesienia do wyklucia)?;21.0;dni;zwierzęta;fakt
131;Ile kilogramów waży przeciętny noworodek (około)?;3.3;kg;człowiek;około
132;Ile litrów wynosi całkowita pojemność płuc dorosłego (około)?;6.0;l;człowiek;około
133;Ile chromosomów ma człowiek?;46.0;szt.;człowiek;fakt
134;Ile mięśni ma ciało człowieka (około)?;600.0;szt.;człowiek;około
135;Ile nóg ma owad?;6.0;nóg;zwierzęta;fakt
136;Ile nóg ma pająk?;8.0;nóg;zwierzęta;fakt
137;Ile ramion ma ośmiornica?;8.0;ramion;zwierzęta;fakt
138;Ile lat żyje typowo chomik domowy?;2.0;lat;zwierzęta;typowo
139;Ile lat może żyć złota rybka w dobrych warunkach (około)?;10.0;lat;zwierzęta;około
140;Ile kilogramów waży typowo kot domowy (około)?;4.0;kg;zwierzęta;około
141;Ile kilogramów waży duży pies rodzinny (np. golden retriever, około)?;30.0;kg;zwierzęta;około
142;Ile lat żyje typowo pies domowy?;12.0;lat;zwierzęta;typowo
143;Ile lat żyje typowo kot domowy?;15.0;lat;zwierzęta;typowo
144;Ile metrów ma wysokość żyrafy (około)?;5.5;m;zwierzęta;około
145;Ile metrów długości ma płetwal błękitny (około)?;25.0;m;zwierzęta;około
146;Ile kilogramów waży płetwal błękitny (około)?;150000.0;kg;zwierzęta;około
147;Jaka jest maksymalna prędkość geparda (około)?;110.0;km/h;zwierzęta;około
148;Jaka jest maksymalna prędkość konia w galopie (około)?;88.0;km/h;zwierzęta;około
149;Jaka jest maksymalna prędkość kota domowego (około)?;48.0;km/h;zwierzęta;około
150;Ile procent powierzchni Ziemi pokrywa woda (około)?;71.0;%;Ziemia;około
151;Jakie jest ciśnienie atmosferyczne na poziomie morza (około)?;1013.0;hPa;Ziemia;około
152;Jaka jest prędkość dźwięku w powietrzu w 20°C (około)?;343.0;m/s;nauka;około
153;Jaka jest prędkość światła w próżni?;299792.0;km/s;nauka;fakt
154;Jaka jest średnia odległość Ziemia–Słońce (około)?;149.6;mln km;kosmos;około
155;Ile minut leci światło ze Słońca na Ziemię (około)?;8.3;min;kosmos;około
156;Ile kilometrów wynosi średnica Ziemi (około)?;12742.0;km;Ziemia;około
157;Ile kilometrów wynosi średnica Księżyca (około)?;3474.0;km;kosmos;około
158;Ile kilometrów wynosi średnia odległość Ziemia–Księżyc (około)?;384400.0;km;kosmos;około
159;Ile kart ma standardowa talia do gry bez jokerów?;52.0;kart;gry;fakt
160;Ile kart ma talia do gry z dwoma jokerami?;54.0;kart;gry;fakt
161;Ile pól ma standardowa szachownica?;64.0;pól;gry;fakt
162;Ile bierek ma na starcie jeden gracz w szachach?;16.0;szt.;gry;fakt
163;Ile pionków ma na starcie jeden gracz w szachach?;8.0;szt.;gry;fakt
164;Ile pionków ma na starcie jeden gracz w warcabach?;12.0;szt.;gry;fakt
165;Ile kamieni (płytek) ma zestaw domina 'double-six'?;28.0;szt.;gry;fakt
166;Ile klocków ma klasyczna wieża Jenga?;54.0;szt.;gry;fakt
167;Ile małych klocków (cubelets) tworzy klasyczna kostka Rubika 3×3 (widocznych elementów)?;26.0;szt.;gry;fakt
168;Ile pól ma standardowa plansza Sudoku 9×9?;81.0;pól;gry;fakt
169;Ile kręgli stoi na torze w bowlingu na początku rzutu?;10.0;szt.;sport/gry;fakt
170;Ile rund (frame'ów) ma standardowa gra w bowling?;10.0;frame;sport/gry;fakt
171;Ile dołków ma standardowe pole golfowe?;18.0;dołków;sport;fakt
172;Ilu zawodników jest na boisku w jednej drużynie siatkówki?;6.0;osób;sport;fakt
173;Ilu zawodników jest na boisku w jednej drużynie baseballu?;9.0;osób;sport;fakt
174;Ilu zawodników jest na lodzie w jednej drużynie hokeja (z bramkarzem)?;6.0;osób;sport;fakt
175;Ile strun ma standardowa gitara?;6.0;strun;muzyka;fakt
176;Ile strun ma skrzypce?;4.0;strun;muzyka;fakt
177;Ile strun ma typowy ukulele?;4.0;strun;muzyka;fakt
178;Ile klawiszy ma standardowy fortepian (pełna klawiatura)?;88.0;klawiszy;muzyka;fakt
179;Ile białych klawiszy ma fortepian 88-klawiszowy?;52.0;klawiszy;muzyka;fakt
180;Ile czarnych klawiszy ma fortepian 88-klawiszowy?;36.0;klawiszy;muzyka;fakt
181;Ile liter ma alfabet angielski?;26.0;liter;ciekawostki;fakt
182;Ile bitów ma jeden bajt?;8.0;bitów;technologia;fakt
183;Ile znaków ma standardowy SMS w kodowaniu GSM-7?;160.0;znaków;technologia;fakt
184;Ile MB mieści standardowa płyta CD (około)?;700.0;MB;technologia;około
185;Ile GB mieści jednowarstwowa płyta DVD (około)?;4.7;GB;technologia;około
186;Ile GB mieści jednowarstwowy Blu-ray (około)?;25.0;GB;technologia;około
187;Ile pikseli ma szerokość obrazu Full HD?;1920.0;px;technologia;fakt
188;Ile pikseli ma wysokość obrazu Full HD?;1080.0;px;technologia;fakt
189;Ile pikseli ma szerokość obrazu 4K UHD?;3840.0;px;technologia;fakt
190;Ile pikseli ma wysokość obrazu 4K UHD?;2160.0;px;technologia;fakt
191;W którym roku uruchomiono serwis YouTube?;2005.0;rok;historia/technologia;fakt
192;W którym roku uruchomiono Wikipedię?;2001.0;rok;historia/technologia;fakt
193;W którym roku pokazano pierwszego iPhone'a?;2007.0;rok;historia/technologia;fakt
194;W którym roku miał premierę pierwszy film 'Star Wars' (Episode IV)?;1977.0;rok;kultura;fakt
195;Ile książek liczy główna seria 'Harry Potter'?;7.0;książek;kultura;fakt
196;Ile planet ma Układ Słoneczny?;8.0;planet;kosmos;fakt
197;Ile kontynentów wyróżnia się w szkolnym podziale?;7.0;kont.;geografia;fakt
198;Ile oceanów wyróżnia się we współczesnym podziale?;5.0;oceanów;geografia;fakt
199;Ile kolorów tradycyjnie wymienia się w tęczy?;7.0;kolorów;ciekawostki;typowo
200;Ile strun ma standardowa gitara basowa?;4.0;strun;muzyka;fakt
201;Około ile monet 1 grosz waży mniej więcej tyle co jedna moneta 5 zł?;4.0;monety;ciekawostki/pieniądze;wyliczone(≈)
202;Ile ton waży czołg T-34-85 (wariant z armatą 85 mm, jak „Rudy 102”)?;32.0;t;historia/wojsko;fakt
203;Ile metrów ma jedno okrążenie standardowej bieżni lekkoatletycznej (tor 1)?;400.0;m;sport;fakt
204;Ilu ludzi do tej pory chodziło po Księżycu?;12.0;osób;kosmos;fakt
205;Ile milimetrów ma dłuższy bok kartki A4?;297.0;mm;normy/papier;fakt
206;Ile krasnoludków jest w historii „Królewna Śnieżka”?;7.0;szt.;popkultura/bajki;fakt
207;Ile jest łącznie „Wielkich Pierścieni” (Great Rings) w legendarium Tolkiena?;20.0;szt.;popkultura/fantasy;fakt
208;Ile klawiszy ma standardowe pianino/fortepian?;88.0;szt.;muzyka;fakt
209;Ile gwiazd ma flaga USA?;50.0;szt.;geografia/symbole;fakt
210;Ile minut może maksymalnie trwać przerwa w meczu piłki nożnej (half-time)?;15.0;min;sport;fakt
211;Ile arkuszy ma standardowa ryza papieru?;500.0;szt.;biuro;fakt
212;Ile mililitrów ma pojedyncze espresso (tzw. single shot, w przybliżeniu)?;30.0;ml;kuchnia/napoje;typowo
213;Jaka jest górna granica masy piłki tenisowej wg ITF?;59.4;g;sport;fakt
214;Ile centymetrów ma dokładnie 1 cal?;2.54;cm;jednostki;fakt
215;Ile minut trwa standardowy mecz piłki nożnej (bez dogrywki)?;90.0;min;sport;fakt
216;Na jakiej wysokości (od podłoża) jest obręcz kosza do koszykówki w standardzie?;3.05;m;sport;fakt
217;Jaka jest szerokość bramki piłkarskiej (od słupka do słupka)?;7.32;m;sport;fakt
218;Ile filmów obejmuje „Saga Skywalkerów” (Epizody I–IX) w Star Wars?;9.0;szt.;popkultura/film;fakt
219;Ile książek liczy główny cykl powieści „Harry Potter”?;7.0;szt.;popkultura/książki;fakt
220;Jaka jest wysokość poprzeczki bramki piłkarskiej od ziemi?;2.44;m;sport;fakt
221;Ile mililitrów ma łyżka stołowa (miara kuchenna)?;15.0;ml;kuchnia/miary;umownie
222;Ile mililitrów ma łyżeczka (miara kuchenna)?;5.0;ml;kuchnia/miary;umownie
223;Ile gramów ma łyżeczka cukru (w przybliżeniu)?;4.0;g;kuchnia/jedzenie;typowo
224;Ile kilokalorii ma łyżeczka cukru (ok. 4 g)?;16.0;kcal;kuchnia/jedzenie;wyliczone(≈)
225;Ile mililitrów ma typowy kieliszek „shot” (w przybliżeniu)?;50.0;ml;kuchnia/napoje;typowo
226;Ile mililitrów ma standardowa butelka wina?;750.0;ml;kuchnia/napoje;fakt
227;Ile mililitrów ma typowa puszka napoju energetycznego?;250.0;ml;kuchnia/napoje;typowo
228;Ile gramów ma standardowa paczka makaronu?;500.0;g;kuchnia/jedzenie;typowo
229;Ile gramów ma paczka ryżu w torebkach 4×100 g (typowo)?;400.0;g;kuchnia/jedzenie;typowo
230;Ile torebek ryżu po 100 g jest w paczce 400 g?;4.0;szt.;kuchnia/jedzenie;wyliczone(≈)
231;Ile gramów ma standardowa kostka masła?;200.0;g;kuchnia/jedzenie;typowo
232;Ile gramów ma standardowy jogurt w kubku (typowo)?;150.0;g;kuchnia/jedzenie;typowo
233;Ile mililitrów ma standardowa butelka napoju 0,5 l?;500.0;ml;kuchnia/napoje;fakt
234;Ile gramów waży średnie jabłko (w przybliżeniu)?;180.0;g;kuchnia/jedzenie;typowo
235;Ile gramów waży średni banan bez skórki (w przybliżeniu)?;120.0;g;kuchnia/jedzenie;typowo
236;Ile minut gotuje się jajko na twardo (typowo)?;10.0;min;kuchnia/jedzenie;typowo
237;Ile stopni Celsjusza ma wrząca woda na poziomie morza?;100.0;°C;nauka/temperatura;fakt
238;Ile stopni Celsjusza ma topniejący lód?;0.0;°C;nauka/temperatura;fakt
239;Jaka jest typowa temperatura w lodówce?;4.0;°C;dom/AGD;typowo
240;Ile watów ma typowy czajnik elektryczny?;2000.0;W;dom/AGD;typowo
241;Ile litrów wody ma pełne spłukanie w nowoczesnej toalecie (typowo)?;6.0;l;dom;typowo
242;Ile mililitrów ma „szklanka” w przepisach (umownie)?;250.0;ml;kuchnia/miary;umownie
243;Ile gramów ma szklanka cukru (w przybliżeniu)?;200.0;g;kuchnia/miary;typowo
244;Ile gramów ma szklanka mąki pszennej (w przybliżeniu)?;160.0;g;kuchnia/miary;typowo
245;Ile gramów ma standardowa puszka pomidorów krojonych (netto, typowo)?;400.0;g;kuchnia/jedzenie;typowo
246;Ile gramów ma standardowa puszka fasoli (netto, typowo)?;400.0;g;kuchnia/jedzenie;typowo
247;Ile gramów ma standardowa puszka tuńczyka (netto, typowo)?;170.0;g;kuchnia/jedzenie;typowo
248;Ile gramów ma typowa paczka chipsów „duża” (w przybliżeniu)?;150.0;g;kuchnia/jedzenie;typowo
249;Ile gramów ma typowa porcja suchego makaronu na osobę?;80.0;g;kuchnia/jedzenie;typowo
250;Ile gramów ma typowa kromka chleba (w przybliżeniu)?;35.0;g;kuchnia/jedzenie;typowo
251;Ile kromek (po ok. 35 g) wyjdzie z bochenka 500 g (w przybliżeniu)?;14.0;szt.;kuchnia/jedzenie;wyliczone(≈)
252;Ile łyżeczek (po 5 ml) mieści się w 1 litrze?;200.0;szt.;kuchnia/miary;wyliczone(≈)
253;Ile łyżek stołowych (po 15 ml) mieści się w 1 litrze (w przybliżeniu)?;66.7;szt.;kuchnia/miary;wyliczone(≈)
254;Ile gramów ma kostka cukru (typowo)?;4.0;g;kuchnia/jedzenie;typowo
255;Ile kostek cukru (po 4 g) potrzeba, żeby uzyskać 100 g cukru?;25.0;szt.;kuchnia/jedzenie;wyliczone(≈)
256;Ile gramów ma typowa saszetka suchych drożdży?;7.0;g;kuchnia/jedzenie;typowo
257;Ile gramów ma typowa kulka mozzarelli w zalewie?;125.0;g;kuchnia/jedzenie;typowo
258;Ile centymetrów ma średnica typowej pizzy „dużej”?;32.0;cm;kuchnia/jedzenie;typowo
259;Ile litrów ma typowy kubek termiczny?;0.4;l;kuchnia/napoje;typowo
260;Ile mililitrów ma typowy kubek kawy na wynos (średni)?;300.0;ml;kuchnia/napoje;typowo
261;Ile centymetrów ma typowy wzrost dorosłej osoby (w przybliżeniu)?;175.0;cm;człowiek/codzienne;typowo
262;Ile gramów waży typowy smartfon?;180.0;g;technologia/codzienne;typowo
263;Ile cali ma typowy ekran laptopa?;15.6;cal;technologia/codzienne;typowo
264;Ile kilogramów waży typowa walizka kabinowa pusta?;3.0;kg;podróże/codzienne;typowo
265;Ile litrów ma typowy plecak szkolny?;20.0;l;codzienne;typowo
266;Ile kilogramów może udźwignąć typowa torba zakupowa wielorazowa?;15.0;kg;codzienne;typowo
267;Ile centymetrów ma szerokość łóżka jednoosobowego (typowo)?;90.0;cm;dom;typowo
268;Ile centymetrów ma szerokość łóżka dwuosobowego (typowo)?;160.0;cm;dom;typowo
269;Ile centymetrów ma długość łóżka (typowo)?;200.0;cm;dom;typowo
270;Ile metrów ma wysokość sufitu w mieszkaniu (typowo)?;2.5;m;dom;typowo
271;Ile stopni Celsjusza ustawia się w domu jako komfortową temperaturę zimą (typowo)?;21.0;°C;dom;typowo
272;Ile watów ma typowa żarówka LED zastępująca starą 60 W (w przybliżeniu)?;9.0;W;dom/elektryka;typowo
273;Ile lumenów ma taka żarówka LED (w przybliżeniu)?;800.0;lm;dom/elektryka;typowo
274;Ile centymetrów ma szerokość standardowej pralki?;60.0;cm;dom/AGD;typowo
275;Ile centymetrów ma głębokość standardowej pralki?;60.0;cm;dom/AGD;typowo
276;Ile litrów wody zużywa pralka na jeden cykl (w przybliżeniu)?;50.0;l;dom/AGD;typowo
277;Ile litrów ma typowa wanna (w przybliżeniu)?;150.0;l;dom;typowo
