id;question;answer;unit;category;answer_type
278;Ile litrów wody zużyje prysznic 5 minut przy przepływie 10 l/min?;50.0;l;dom;wyliczone(≈)
279;Ile minut trwa typowy dojazd do pracy/szkoły w mieście?;30.0;min;transport/codzienne;typowo
280;Ile kilometrów ma typowa trasa dojazdu do pracy/szkoły?;10.0;km;transport/codzienne;typowo
281;Ile metrów ma długość samochodu osobowego (typowo)?;4.4;m;transport/codzienne;typowo
282;Ile ton waży typowy samochód osobowy (w przybliżeniu)?;1.4;t;transport/codzienne;typowo
283;Ile kilogramów waży typowy rower miejski?;15.0;kg;transport/codzienne;typowo
284;Ile km/h jedzie rowerzysta w mieście w spokojnym tempie (typowo)?;18.0;km/h;transport/codzienne;typowo
285;Ile km/h ma szybki marsz (typowo)?;6.0;km/h;człowiek/codzienne;typowo
286;Ile metrów ma długość autobusu miejskiego standardowego?;12.0;m;transport;fakt
287;Ile miejsc siedzących ma typowy autobus miejski 12 m (w przybliżeniu)?;30.0;szt.;transport;typowo
288;Ile litrów paliwa ma typowy bak w aucie osobowym (w przybliżeniu)?;50.0;l;transport;typowo
289;Ile kilometrów przejedziesz na 1 litrze paliwa przy spalaniu 5 l/100 km?;20.0;km;transport;wyliczone(≈)
290;Ile sekund trwa przejechanie 1 km z prędkością 60 km/h?;60.0;s;transport;wyliczone(≈)
291;Ile minut trwa przejechanie 10 km z prędkością 60 km/h?;10.0;min;transport;wyliczone(≈)
292;Ile centymetrów ma szerokość miejsca parkingowego (typowo)?;250.0;cm;transport/miasto;typowo
293;Ile centymetrów ma długość miejsca parkingowego (typowo)?;500.0;cm;transport/miasto;typowo
294;Ile kroków ma 1 kilometr przy długości kroku 0.75 m (w przybliżeniu)?;1333.0;kroków;człowiek/codzienne;wyliczone(≈)
295;Ile kilometrów ma spacer 10 000 kroków przy kroku 0.75 m (w przybliżeniu)?;7.5;km;człowiek/codzienne;wyliczone(≈)
296;Ile sekund trwa typowy spot reklamowy w TV?;30.0;s;media/codzienne;typowo
297;Ile osób jest w typowym samochodzie osobowym (liczba miejsc)?;5.0;osób;transport/codzienne;fakt
298;Ile kilogramów udźwigu ma typowa winda 8-osobowa (w przybliżeniu)?;630.0;kg;dom;typowo
299;Ile osób mieści typowa winda w bloku?;8.0;osób;dom;typowo
300;Ile metrów ma wysokość jednego piętra w bloku (od podłogi do podłogi, typowo)?;2.8;m;dom;typowo
301;Ile kilometrów ma dystans półmaratonu?;21.0975;km;sport;fakt
302;Ile metrów ma długość basenu olimpijskiego?;50.0;m;sport;fakt
303;Ile metrów ma długość basenu „krótkiego” na pływalniach?;25.0;m;sport;fakt
304;Ile metrów ma długość kortu tenisowego?;23.77;m;sport;fakt
305;Ile metrów ma szerokość kortu tenisowego w singlu?;8.23;m;sport;fakt
306;Ile metrów ma szerokość kortu tenisowego w deblu?;10.97;m;sport;fakt
307;Ile centymetrów ma maksymalna średnica piłki tenisowej?;6.86;cm;sport;fakt
308;Ile metrów ma długość boiska do koszykówki (FIBA)?;28.0;m;sport;fakt
309;Ile metrów ma szerokość boiska do koszykówki (FIBA)?;15.0;m;sport;fakt
310;Ile metrów ma długość boiska do siatkówki?;18.0;m;sport;fakt
311;Ile metrów ma szerokość boiska do siatkówki?;9.0;m;sport;fakt
312;Na jakiej wysokości jest siatka w siatkówce mężczyzn?;2.43;m;sport;fakt
313;Na jakiej wysokości jest siatka w siatkówce kobiet?;2.24;m;sport;fakt
314;Do ilu punktów gra się set w siatkówce (standardowo)?;25.0;pkt;sport;fakt
315;Ilu zawodników jest na boisku w drużynie piłkarskiej (na raz)?;11.0;osób;sport;fakt
316;Ilu zawodników jest na boisku w koszykówce (jedna drużyna)?;5.0;osób;sport;fakt
317;Ilu zawodników jest na boisku w siatkówce (jedna drużyna)?;6.0;osób;sport;fakt
318;Ilu zawodników jest na boisku w piłce ręcznej (jedna drużyna)?;7.0;osób;sport;fakt
319;Ile sekund trwa limit na rzut w koszykówce (shot clock)?;24.0;s;sport;fakt
320;Ile kręgli stoi na torze w bowlingu?;10.0;szt.;sport;fakt
321;Ile kart ma standardowa talia do gry bez jokerów?;52.0;szt.;gry;fakt
322;Ile kart ma talia z dwoma jokerami?;54.0;szt.;gry;typowo
323;Ile oczek ma suma wszystkich ścian na standardowej kostce do gry?;21.0;oczka;gry;fakt
324;Ile pionków ma gracz w warcabach na początku?;12.0;szt.;gry;fakt
325;Ile małych kostek (cubies) ma kostka Rubika 3x3 (bez elementu wewnętrznego)?;26.0;szt.;gry;fakt
326;Ile rund (maksymalnie) ma walka bokserska o tytuł (typowo)?;12.0;rund;sport;typowo
327;Ile sekund trwa jedna runda w boksie zawodowym?;180.0;s;sport;fakt
328;Ile minut trwa mecz koszykówki FIBA (bez przerw)?;40.0;min;sport;fakt
329;Ile minut trwa jedna kwarta w koszykówce FIBA?;10.0;min;sport;fakt
330;Ile minut trwa dogrywka w piłce nożnej (łącznie)?;30.0;min;sport;fakt
331;Ile pierścieni jest w symbolu olimpijskim?;5.0;szt.;ciekawostki;fakt
332;Ile kolorów ma tęcza w popularnym podziale?;7.0;szt.;ciekawostki;umownie
333;Ile kontynentów wyróżnia się zwykle na Ziemi?;7.0;szt.;geografia;umownie
334;Ile oceanów wyróżnia się zwykle na Ziemi?;5.0;szt.;geografia;umownie
335;Ile stref czasowych ma Ziemia (umownie)?;24.0;szt.;geografia/czas;umownie
336;Ile liter ma alfabet łaciński?;26.0;szt.;język;fakt
337;Ile stopni ma pełny obrót?;360.0;°;matematyka;fakt
338;Ile stopni ma kąt prosty?;90.0;°;matematyka;fakt
339;Ile stopni ma suma kątów w trójkącie?;180.0;°;matematyka;fakt
340;Ile miesięcy ma rok?;12.0;szt.;czas;fakt
341;Ile dni ma luty w roku przestępnym?;29.0;dni;czas;fakt
342;Ile bajtów ma 1 kibibajt (KiB)?;1024.0;B;technologia;fakt
343;Ile bitów ma 1 bajt?;8.0;bit;technologia;fakt
344;Ile megabajtów (MB) ma 1 gigabajt (GB) w uproszczeniu dziesiętnym?;1000.0;MB;technologia;umownie
345;Ile milimetrów ma średnica płyty CD?;120.0;mm;technologia;fakt
346;Ile minut muzyki mieści się na płycie CD (klasycznie)?;74.0;min;technologia/media;typowo
347;Ile klatek na sekundę ma klasyczny film kinowy?;24.0;fps;media;fakt
348;Ile znaków ma standardowy SMS bez polskich znaków?;160.0;znaków;technologia;fakt
349;Ile cyfr ma typowy kod PIN do karty?;4.0;cyfry;codzienne;typowo
350;Ile stron ma typowy komiks zeszytowy (w przybliżeniu)?;32.0;str.;media;typowo
351;Ile minut trwa typowy odcinek sitcomu bez reklam (w przybliżeniu)?;22.0;min;media;typowo
352;Ile minut trwa typowy odcinek serialu „godzinnego” bez reklam (w przybliżeniu)?;45.0;min;media;typowo
353;Ile klawiszy ma typowa klawiatura pełnowymiarowa (w przybliżeniu)?;104.0;szt.;technologia;typowo
354;Ile filmów obejmuje oryginalna trylogia „Gwiezdne Wojny”?;3.0;szt.;popkultura;fakt
355;Ile tomów ma klasycznie „Władca Pierścieni” (trylogia)?;3.0;szt.;popkultura;fakt
356;Ile osób tworzy zespół The Beatles?;4.0;osób;popkultura/muzyka;fakt
357;Ile strun ma standardowa gitara?;6.0;strun;muzyka;fakt
358;Ile strun mają skrzypce?;4.0;strun;muzyka;fakt
359;Ile minut trwa jedna strona płyty winylowej LP (w przybliżeniu)?;20.0;min;muzyka;typowo
360;Ile graczy jest na boisku w baseballu (jedna drużyna)?;9.0;osób;sport;fakt
361;Ile pól ma klasyczna plansza Monopoly (liczba pól dookoła)?;40.0;pól;gry;fakt
362;Ile domków maksymalnie można postawić na jednym polu w Monopoly?;4.0;szt.;gry;fakt
363;Ile hoteli można postawić na jednym polu w Monopoly?;1.0;szt.;gry;fakt
364;Ile minut ma tydzień?;10080.0;min;czas;fakt
365;Ile sekund trwa przeciętne mrugnięcie okiem (w przybliżeniu)?;0.3;s;człowiek;typowo
366;Ile razy na minutę mruga człowiek (typowo)?;15.0;razy/min;człowiek;typowo
367;Ile państw członkowskich ma ONZ?;193.0;szt.;świat;fakt
368;Ile zębów ma dorosły człowiek (z ósemkami)?;32.0;szt.;człowiek;fakt
369;Ile zębów mlecznych ma dziecko?;20.0;szt.;człowiek;fakt
370;Ile minut trwa przeciętny cykl snu (w przybliżeniu)?;90.0;min;zdrowie;typowo
371;Ile godzin śpi noworodek na dobę (typowo)?;16.0;h;zdrowie;typowo
372;Ile litrów krwi ma dorosły człowiek (w przybliżeniu)?;5.0;l;człowiek;typowo
373;Ile kilometrów na godzinę może biec gepard (w przybliżeniu)?;110.0;km/h;natura/zwierzęta;typowo
374;Ile kilometrów na godzinę potrafi biec struś (w przybliżeniu)?;70.0;km/h;natura/zwierzęta;typowo
375;Ile kilometrów na godzinę potrafi płynąć delfin (w przybliżeniu)?;35.0;km/h;natura/zwierzęta;typowo
376;Ile kilogramów waży przeciętny kot domowy (w przybliżeniu)?;4.0;kg;natura/zwierzęta;typowo
377;Ile kilogramów waży przeciętny labrador (w przybliżeniu)?;30.0;kg;natura/zwierzęta;typowo
378;Ile metrów może mieć dorosła żyrafa (w przybliżeniu)?;5.5;m;natura/zwierzęta;typowo
379;Ile metrów ma przeciętnie słoń afrykański w kłębie (w przybliżeniu)?;3.3;m;natura/zwierzęta;około
380;Ile kilogramów może ważyć dorosły słoń (w przybliżeniu)?;6000.0;kg;natura/zwierzęta;około
381;Ile metrów na sekundę ma prędkość dźwięku w powietrzu (w przybliżeniu)?;343.0;m/s;nauka;około
382;Ile kilometrów na godzinę ma prędkość dźwięku w powietrzu (w przybliżeniu)?;1235.0;km/h;nauka;około
383;Ile kilometrów na sekundę ma prędkość światła w próżni (w przybliżeniu)?;300000.0;km/s;nauka;około
384;Ile kilometrów na godzinę ma prędkość światła (w przybliżeniu)?;1080000000.0;km/h;nauka;wyliczone(≈)
385;Ile milimetrów ma grubość kartki papieru (w przybliżeniu)?;0.1;mm;codzienne;typowo
386;Ile gramów waży jedna kartka A4 papieru 80 g/m² (w przybliżeniu)?;5.0;g;codzienne;wyliczone(≈)
387;Jaki procent powierzchni Ziemi pokrywa woda (w przybliżeniu)?;71.0;%;geografia;około
388;Ile godzin trwa doba na Marsie („sol”, w przybliżeniu)?;24.6;h;kosmos;około
389;Ile dni trwa rok na Marsie (w przybliżeniu)?;687.0;dni;kosmos;około
390;Ile lat żyje przeciętnie pies (w przybliżeniu)?;12.0;lat;natura/zwierzęta;typowo
391;Ile lat żyje przeciętnie kot (w przybliżeniu)?;15.0;lat;natura/zwierzęta;typowo
392;Ile litrów wody zaleca się pić dziennie (w przybliżeniu)?;2.0;l;zdrowie;typowo
393;Ile milimetrów rośnie paznokieć u ręki w miesiącu (w przybliżeniu)?;3.0;mm;człowiek;typowo
394;Ile centymetrów rosną włosy w miesiącu (w przybliżeniu)?;1.2;cm;człowiek;typowo
395;Ile oddechów na minutę wykonuje dorosły w spoczynku (typowo)?;12.0;oddech/min;zdrowie;typowo
396;Ile uderzeń na minutę ma spoczynkowe tętno dorosłego (typowo)?;70.0;ud/min;zdrowie;typowo
397;Ile procent stanowi sól w wodzie morskiej (zasolenie, w przybliżeniu)?;3.5;%;natura;około
398;Ile kilometrów na godzinę może biec koń w galopie (w przybliżeniu)?;60.0;km/h;natura/zwierzęta;około
399;Ile kilometrów na godzinę może osiągnąć sprinter na 100 m (w przybliżeniu)?;45.0;km/h;sport;około
400;Ile kilogramów waży typowy noworodek (w przybliżeniu)?;3.5;kg;człowiek;typowo
401;Ile minut trwa pieczenie ciasta biszkoptowego (w przybliżeniu)?;35.0;min;kuchnia/jedzenie;typowo
402;Ile kilometrów na godzinę leci samolot pasażerski w przelocie (w przybliżeniu)?;900.0;km/h;transport;około
403;Ile megaherców ma pasmo Wi‑Fi 2,4 GHz (w przybliżeniu)?;2400.0;MHz;technologia/sieci;około
404;Ile metrów ma typowy koc (dłuższy bok)?;2.0;m;dom;typowo
405;Ile procent baterii zużywa typowo 1 godzina oglądania wideo na telefonie (w przybliżeniu)?;15.0;%;technologia/codzienne;około
406;Do ilu punktów gra się set w tenisie stołowym (standardowo)?;11.0;pkt;sport;fakt
407;Ile utworów mieści się typowo na albumie muzycznym?;12.0;utworów;muzyka;typowo
408;Ile okrążeń ma wyścig Formuły 1 (w przybliżeniu)?;60.0;okrążeń;sport/motoryzacja;około
409;Ile kilometrów ma dystans triathlonu olimpijskiego – rower?;40.0;km;sport;fakt
410;Ile klawiszy funkcyjnych ma klawiatura (F1–F12)?;12.0;klawiszy;technologia;fakt
411;Ile gramów ma typowa paczka płatków kukurydzianych?;500.0;g;kuchnia/jedzenie;typowo
412;Ile metrów ma wysokość najwyższego budynku na świecie (w przybliżeniu, Burj Khalifa)?;828.0;m;geografia/budowle;około
413;Ile pinów ma złącze RJ-45 (Ethernet)?;8.0;pinów;technologia/sieci;fakt
414;Ile znaków ma kod QR (w przybliżeniu maks. w trybie numerycznym)?;7089.0;znaków;technologia;fakt
415;Ile znaków może mieć pojedyncza etykieta domeny (np. 'example') maksymalnie?;63.0;znaków;technologia/internet;fakt
416;Ile gramów waży typowa łyżeczka?;15.0;g;dom/kuchnia;typowo
417;Ile gramów ma typowa paczka sera żółtego w plastrach?;150.0;g;kuchnia/jedzenie;typowo
418;Ile kontynentów odwiedza Phileas Fogg w 'W 80 dni dookoła świata' (w przybliżeniu)?;4.0;kontynenty;popkultura/książki;około
419;Ile sezonów ma serial animowany 'Simpsonowie' (w przybliżeniu, stan 2025)?;35.0;sezonów;popkultura/seriale;około
420;Ile grup po 16 bitów ma zapis IPv6 (standardowo)?;8.0;grup;technologia/sieci;fakt
421;Ile minut trwa smażenie naleśnika z jednej strony (w przybliżeniu)?;1.0;min;kuchnia/jedzenie;typowo
422;Ile liter ma alfabet grecki?;24.0;liter;język;fakt
423;Ile watogodzin (Wh) to 1 kilowatogodzina (kWh)?;1000.0;Wh;technologia/energia;fakt
424;Ile metrów ma typowy przewód USB do ładowarki (w przybliżeniu)?;1.0;m;technologia/codzienne;typowo
425;Ile minut trwa typowy odcinek programu informacyjnego w TV (w przybliżeniu)?;30.0;min;media;typowo
426;Ile graczy jest w drużynie koszykówki na boisku (łącznie obie drużyny)?;10.0;osób;sport;fakt
427;Ile milimetrów ma złącze jack 3,5 mm?;3.5;mm;technologia/audio;fakt
428;Ile gramów ma standardowy słoik dżemu (w przybliżeniu)?;280.0;g;kuchnia/jedzenie;typowo
429;Ile minut trwa gotowanie ryżu (w przybliżeniu)?;12.0;min;kuchnia/jedzenie;typowo
430;Ile centymetrów ma średnica piłki do koszykówki (w przybliżeniu)?;24.0;cm;sport;około
431;Ile bitów ma liczba zapisana jako 1 bajt?;8.0;bit;technologia;fakt
432;Ile centymetrów ma długość łyżki stołowej (w przybliżeniu)?;20.0;cm;dom/kuchnia;typowo
433;Ile gramów ma typowa paczka mrożonych warzyw?;450.0;g;kuchnia/jedzenie;typowo
434;Ile gramów ma typowa paczka szynki w plastrach?;120.0;g;kuchnia/jedzenie;typowo
435;Ile sztuk chusteczek jest w typowym pudełku?;100.0;szt.;dom;typowo
436;Ile gramów ma typowa paczka drożdży świeżych?;100.0;g;kuchnia/jedzenie;typowo
437;Ile metrów ma standardowa rolka papieru do pieczenia (w przybliżeniu)?;8.0;m;dom/kuchnia;typowo
438;Ile megabitów na sekundę ma 1 gigabit na sekundę (w uproszczeniu dziesiętnym)?;1000.0;Mb/s;technologia;umownie
439;Ile sekund trwa 9 minut?;540.0;s;czas;wyliczone(≈)
440;Ile kół ma standardowy zestaw domino (podwójne‑sześć)?;28.0;kamieni;gry;fakt
441;Ile stron ma typowy podręcznik szkolny (w przybliżeniu)?;200.0;str.;szkoła;około
442;Ile bajtów ma standardowy sektor dysku (klasycznie)?;512.0;B;technologia;typowo
443;Ile metrów ma szerokość boiska do badmintona (debel)?;6.1;m;sport;fakt
444;Ile centymetrów ma długość karty płatniczej (w przybliżeniu)?;8.6;cm;codzienne/przedmioty;około
445;Ile metrów ma szerokość boiska do badmintona (singiel)?;5.18;m;sport;fakt
446;Ile sztuk herbaty w torebkach bywa w standardowym pudełku (w przybliżeniu)?;20.0;szt.;kuchnia/napoje;typowo
447;Ile kilometrów na godzinę może biec struś (w przybliżeniu)?;70.0;km/h;natura/zwierzęta;około
448;Ile gramów waży typowa książka w miękkiej okładce (w przybliżeniu)?;350.0;g;codzienne/książki;typowo
449;Ile metrów ma typowa rolka ręcznika papierowego (w przybliżeniu)?;15.0;m;dom/kuchnia;typowo
450;Ile gramów ma typowa porcja mięsa na obiad (w przybliżeniu)?;150.0;g;kuchnia/jedzenie;typowo
451;Ile minut trwa typowa drzemka „power nap”?;20.0;min;zdrowie;typowo
452;Ile metrów ma boisko do piłki ręcznej – długość?;40.0;m;sport;fakt
453;Ile kilometrów może przelecieć pszczoła w ciągu dnia (w przybliżeniu)?;10.0;km;natura/zwierzęta;około
454;Ile metrów długości może mieć płetwal błękitny (w przybliżeniu)?;30.0;m;natura/zwierzęta;około
455;Ile domów jest w Hogwarcie?;4.0;domy;popkultura/książki;fakt
456;Ile kilometrów ma dystans wyścigu Formuły 1 (minimum regulaminowe, w przybliżeniu)?;305.0;km;sport/motoryzacja;około
457;Ile centymetrów ma przekątna ekranu smartfona 6,5 cala (w przybliżeniu)?;16.5;cm;technologia/codzienne;wyliczone(≈)
458;Ile graczy (max) może mieć klasyczna gra 'Chińczyk'?;4.0;graczy;gry;typowo
459;Ile gramów waży karta płatnicza (w przybliżeniu)?;5.0;g;codzienne/przedmioty;typowo
460;Ile gramów ma typowy serek wiejski?;200.0;g;kuchnia/jedzenie;typowo
461;Ile gramów ma typowa paczka lodów w pudełku (w przybliżeniu)?;500.0;g;kuchnia/jedzenie;typowo
462;Ile metrów kwadratowych ma boisko piłkarskie 105×68 m (w przybliżeniu)?;7140.0;m²;sport;wyliczone(≈)
463;Ile znaków ma kod heksadecymalny jednego bajtu?;2.0;znaki;technologia;fakt
464;Ile gramów waży typowa szczoteczka do zębów?;20.0;g;dom/łazienka;typowo
465;Ile mililitrów ma typowa butelka octu?;500.0;ml;kuchnia/jedzenie;typowo
466;Ile kilometrów ma najdłuższa rzeka w Europie (Wołga, w przybliżeniu)?;3530.0;km;geografia;około
467;Ile kilogramów waży typowy worek cementu?;25.0;kg;dom/DIY;typowo
468;Ile zawodników jest na lodzie w hokeju (jedna drużyna, bez bramkarza)?;5.0;osób;sport;fakt
469;Ile woltów ma bateria 9V (kostka)?;9.0;V;dom/elektryka;fakt
470;Ile kilometrów ma najdłuższa rzeka w Polsce (Wisła, w przybliżeniu)?;1047.0;km;geografia;około
471;Ile centymetrów ma standardowa wysokość kosza na śmieci w kuchni (w przybliżeniu)?;50.0;cm;dom;wyliczone(≈)
472;Ile metrów ma boisko do piłki ręcznej – szerokość?;20.0;m;sport;fakt
473;Ile uderzeń serca wykonuje człowiek w ciągu doby przy 70/min (w przybliżeniu)?;100800.0;uderzeń;człowiek/zdrowie;wyliczone(≈)
474;Ile watów ma typowa ładowarka do telefonu (w przybliżeniu)?;20.0;W;technologia/codzienne;typowo
475;Ile metrów ma długość boiska do badmintona (debel)?;13.4;m;sport;fakt
476;Ile dni ma czerwiec?;30.0;dni;czas;fakt
477;Ile litrów ma typowy pojemnik na kurz w odkurzaczu pionowym (w przybliżeniu)?;0.6;l;dom/AGD;typowo
478;Ile dni ma maj?;31.0;dni;czas;fakt
479;Ile kilometrów ma długość Wielkiego Muru Chińskiego (w przybliżeniu)?;21000.0;km;geografia/budowle;około
480;Ile gramów waży typowy zeszyt szkolny (w przybliżeniu)?;150.0;g;szkoła;typowo
481;Ile minut trwa typowy program „wieczorynka” (w przybliżeniu)?;10.0;min;media;typowo
482;Ile minut trwa typowa aktualizacja systemu (w przybliżeniu)?;20.0;min;technologia/codzienne;około
483;Ile centymetrów ma szerokość karty microSD (w przybliżeniu)?;1.1;cm;technologia;około
484;Ile minut ma 1,5 godziny?;90.0;min;czas;wyliczone(≈)
485;Ile dni ma grudzień?;31.0;dni;czas;fakt
486;Ile mililitrów ma 2 litry?;2000.0;ml;jednostki;fakt
487;Ile tomów ma cykl 'Opowieści z Narnii'?;7.0;tomów;popkultura/książki;fakt
488;Ile megaherców ma pasmo Wi‑Fi 5 GHz (w przybliżeniu)?;5000.0;MHz;technologia/sieci;około
489;Ile kilogramów waży typowy odkurzacz tradycyjny?;6.0;kg;dom/AGD;typowo
490;Ile minut trwa typowy występ stand‑up (w przybliżeniu)?;60.0;min;media;typowo
491;Ile gramów waży piłka do koszykówki (w przybliżeniu)?;600.0;g;sport;około
492;Ile części ma klasyczna trylogia 'Władca Pierścieni' (filmy)?;3.0;filmy;popkultura/film;fakt
493;Ile minut trwa pieczenie mrożonej pizzy (w przybliżeniu)?;12.0;min;kuchnia/jedzenie;typowo
494;Ile metrów ma długość boiska do squasha (w przybliżeniu)?;9.75;m;sport;fakt
495;Ile lat (typowo) ma jeden 'psie rok' w ludzkich latach w popularnym uproszczeniu?;7.0;lat;popkultura/codzienne;umownie
496;Ile metrów ma typowy koc (krótszy bok)?;1.5;m;dom;typowo
497;Ile sekund trwa minuta w systemie SI?;60.0;s;czas;fakt
498;Ile znaków ma typowy adres e‑mail (w przybliżeniu)?;25.0;znaków;technologia/codzienne;około
499;Ile mililitrów ma typowy kefir/maślanka w butelce?;500.0;ml;kuchnia/napoje;typowo
500;Ile litrów ma typowy garnek domowy (w przybliżeniu)?;3.0;l;dom/kuchnia;typowo
501;Ile litrów wody mieści butelka 750 ml?;0.75;l;kuchnia/napoje;fakt
502;Ile sezonów ma serial 'Gra o tron'?;8.0;sezonów;popkultura/seriale;fakt
503;Ile mililitrów ma typowa puszka piwa?;500.0;ml;kuchnia/napoje;typowo
504;Ile metrów ma typowy zwój kabla w markecie (w przybliżeniu)?;25.0;m;dom/DIY;typowo
505;Ile minut trwa typowy odcinek kreskówki dla dzieci?;11.0;min;popkultura/seriale;typowo
506;Ile herców ma sieć energetyczna w Europie?;50.0;Hz;technologia/elektryka;fakt
507;Ile jardów ma boisko do futbolu amerykańskiego (między liniami bramkowymi)?;100.0;jardów;sport;fakt
508;Ile centymetrów ma wysokość typowego kubka?;9.5;cm;dom/kuchnia;typowo
509;Ile gramów ma typowa paczka kaszy (np. gryczanej) ?;400.0;g;kuchnia/jedzenie;typowo
510;Ile stron WWW (w przybliżeniu) otwierasz w typowym dniu pracy?;30.0;stron;technologia/codzienne;około
511;Ile kilometrów ma średnica Ziemi (w przybliżeniu)?;12742.0;km;geografia;około
512;Ile centymetrów ma długość miarki krawieckiej (typowo)?;150.0;cm;dom/DIY;typowo
513;Ile klatek ma sekunda animacji w standardzie 24 fps?;24.0;klatek;media;fakt
514;Ile sekund trwa 2 minuty?;120.0;s;czas;wyliczone(≈)
515;Ile milimetrów ma złącze jack 6,35 mm?;6.35;mm;technologia/audio;fakt
516;Ile gramów ma typowa paczka żółtego sera w kawałku (w przybliżeniu)?;300.0;g;kuchnia/jedzenie;typowo
517;Ile gramów ma typowa paczka rodzynek?;200.0;g;kuchnia/jedzenie;typowo
518;Ile sekund trwa typowy trailer kinowy (w przybliżeniu)?;150.0;s;media/film;wyliczone(≈)
519;Ile kilometrów na godzinę może osiągnąć sokół w locie nurkowym (w przybliżeniu)?;320.0;km/h;natura/zwierzęta;około
520;Ile listków ma typowa rolka papieru toaletowego (w przybliżeniu)?;200.0;szt.;dom/łazienka;około
521;Ile gramów ma typowa tubka pasty do zębów?;75.0;g;dom/łazienka;typowo
522;Ile gramów ma typowa paczka cukru?;1000.0;g;kuchnia/jedzenie;typowo
523;Ile mililitrów ma typowa butelka szamponu?;400.0;ml;dom/łazienka;typowo
524;Ile bitów ma adres IPv6?;128.0;bit;technologia/sieci;fakt
525;Ile metrów ma dystans biegu na 800 metrów?;800.0;m;sport;fakt
526;Ile części ma klasyczna trylogia 'Powrót do przyszłości'?;3.0;filmy;popkultura/film;fakt
527;Ile sekund ma 2 godziny?;7200.0;s;czas;wyliczone(≈)
528;Ile bajtów ma 1 gibibajt (GiB)?;1073741824.0;B;technologia;fakt
529;Ile kilometrów ma dystans Ironman – pływanie (w przybliżeniu)?;3.8;km;sport;fakt
530;Ile milimetrów ma szerokość karty SD (w przybliżeniu)?;24.0;mm;technologia;około
531;Ile gramów ma typowy kotlet schabowy (w przybliżeniu)?;180.0;g;kuchnia/jedzenie;typowo
532;Ile mililitrów ma typowa mała śmietanka do kawy (kubeczek)?;10.0;ml;kuchnia/napoje;typowo
533;Ile kilometrów ma dystans Ironman – rower (w przybliżeniu)?;180.0;km;sport;fakt
534;Ile centymetrów ma wysokość siatki w tenisie stołowym?;15.25;cm;sport;fakt
535;Ile pionków ma jeden gracz w 'Chińczyku'?;4.0;pionki;gry;fakt
536;Ile kilometrów ma długość okrążenia w Tour de France (łączny dystans, w przybliżeniu)?;3400.0;km;sport;około
537;Ile sekund ma 1,5 minuty?;90.0;s;czas;wyliczone(≈)
538;Ile liter ma alfabet rosyjski (współczesny)?;33.0;liter;język;fakt
